Algorithm_And_Search_Name,Maze_Size,Maze_Density,Water_Density,Path_Size,Num_Nodes_Expanded,Time,Peak_Memory_Usage,Start_Region,Goal_Region,Search_Type,Search_Algorithm,Search_Type_Name,Search_Algorithm_Name,Random_Seed,Maze_Object
tree_BFS,10,0.0,0.35,4.0,30,0.00045609474182128906,9528,3,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(7, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=4)"
tree_BFS,10,0.0,0.35,4.0,18,0.0003161430358886719,5336,3,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(5, 4), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=5)"
tree_BFS,10,0.0,0.35,13.0,32459,0.6929206848144531,13766596,4,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 8), maze_goal=(2, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=4, goal_region=1)"
tree_BFS,10,0.0,0.35,8.0,358,0.005705118179321289,150916,4,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 8), maze_goal=(2, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=4, goal_region=2)"
tree_BFS,10,0.0,0.35,8.0,883,0.015119075775146484,379844,4,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 0, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 8), maze_goal=(7, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=4, goal_region=3)"
tree_BFS,10,0.0,0.35,7.0,179,0.002777099609375,72632,4,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 8), maze_goal=(5, 4), size=10, obstacle_density=0.0, water_density=0.35, start_region=4, goal_region=5)"
tree_BFS,10,0.0,0.35,9.0,2219,0.03702187538146973,901004,5,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 0, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(5, 6), maze_goal=(2, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=5, goal_region=1)"
tree_BFS,10,0.0,0.35,4.0,18,0.0002739429473876953,6160,5,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 0, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(5, 6), maze_goal=(2, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=5, goal_region=2)"
tree_BFS,10,0.0,0.35,8.0,1570,0.0255889892578125,645196,5,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 0, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 0, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(5, 6), maze_goal=(7, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=5, goal_region=3)"
tree_BFS,10,0.0,0.35,3.0,13,0.00020360946655273438,4592,5,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 0, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(5, 6), maze_goal=(7, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=5, goal_region=4)"
